"","x"
"1","PCTP/MRPP– Partido Comunista dos Trabalhadores Portugueses"
"2","PPD/PDS- Partido Social Democrata"
"3","CDS-PP – CDS - Partido Popular"
"4","E - Ergue-te"
"5","MAS – Movimento Alternativa Socialista"
"6","L- LIVRE"
"7","ADN – ALTERNATIVA DEMOCRÁTICA NACIONAL"
"8","B.E. - Bloco de Esquerda"
"9","PCP-PEV – CDU – Coligação Democrática Unitária"
"10","R.I.R – Reagir Incluir Reciclar"
"11","PS – Partido Socialista"
"12","VP – Volt Portugal"
"13","CH - CHEGA"
"14","JPP – Juntos Pelo Povo"
"15","IL – Iniciativa Liberal"
"16","PAN – PESSOAS – ANIMAIS - NATUREZA"
"17","MPT – Partido da Terra"
"18","CDU- Coligação Democrática Unitária"
"19","CH-CHEGA"
"20","R.I.R - Reagir Incluir Reciclar"
"21","PTP - Partido Trabalhista Português"
"22","PCTP/MRPP – Partido Comunista dos Trabalhadores Portugueses"
"23","B.E. – Bloco de Esquerda"
"24","PPD/PSD – Partido Social Democrata"
"25","PTP – Partido Trabalhista Português"
"26","CH – CHEGA"
"27","E- Ergue-te"
"28","CDS-PP – CDS – Partido Popular"
"29","A– Aliança"
"30","L - LIVRE"
"31","CDS-PP – Partido Popular"
"32","B.E.- Bloco de Esquerda"
"33","PAN – PESSOAS- ANIMAIS - NATUREZA"
"34","L – LIVRE"
"35","PCP – PEV – CDU – Coligação Democrática Unitária"
"36","E – Ergue-te"
"37","PAN – PESSOAS –ANIMAIS – NATUREZA"
"38","NC – Nós Cidadãos!"
"39","PCP – PEV - CDU – Coligação Democrática Unitária"
"40","R.I.R. – Reagir Incluir Reciclar"
"41","A - ALIANÇA"
"42","CDS-PP – CDS-Partido Popular"
"43","R.I.R – Partido Reagir Incluir Reciclar"
"44","PCP-PEV - CDU - Coligação Democrática Unitária"
"45","MAS - Movimento Alternativa Socialista"
"46","MPT- Partido da Terra"
"47","PAN - PESSOAS - ANIMAIS – NATUREZA"
"48","PS - Partido Socialista"
"49","VP - Volt Portugal"
"50","IL- Iniciativa Liberal"
"51","ADN - ALTERNATIVA DEMOCRÁTICA NACIONAL"
"52","CDS– PP – CDS - Partido Popular"
"53","PAN – PESSOAS-ANIMAIS-NATUREZA"
"54","NC – Nós, Cidadãos!"
"55","Ana Maria Chélo de Amaral – PCP"
"56","IL - Iniciativa Liberal"
"57","Ana Micaela Pedrosa-Augusto"
"58","Ana Mafalda Sim-Sim da Cunha Neves"
"59","A- ALIANÇA"
"60","CDS-PP – CDS–Partido Popular"
"61","PCTP/MRPP – Partida Comunista dos Trabalhadores Portugueses"
"62","PS- Partido Socialista"
"63","A - Aliança"
"64","PPD/PSD - Partido Social Democrata"
"65","PCP – PEV - CDU- Coligação Democrática Unitária"
"66","PAN – PESSOAS – ANIMAIS – NATUREZA"
"67","MPT - Partido da Terra"
"68","JPP- Juntos pelo Povo"
"69","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL"
"70","PPD/PSD.CDS-PP - MADEIRA PRIMEIRO"
"71","R.I.R. - Reagir Incluir Reciclar"
"72","PPM - Partido Popular Monárquico"
"73","PAN - PESSOAS - ANIMAIS - NATUREZA"
"74","PCP- PEV - CDU – Coligação Democrática Unitária"
"75","PPD/PSD.CDS-PP.PPM – AD/Aliança Democrática"
"76","L -LIVRE"
