"Candidato","Partido","Ordem","Círculo","Efectivo/Suplente"
"João Manuel Valente Pinto","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",1,"Aveiro","Efectivo"
"Marisa Cristina Oliveira Gomes","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",2,"Aveiro","Efectivo"
"José Manuel Lemos Matos de Carvalho","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",3,"Aveiro","Efectivo"
"Cristina Marques Oliveira","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",4,"Aveiro","Efectivo"
"Nelson Moreira das Neves","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",5,"Aveiro","Efectivo"
"José Pedro Teixeira Magalhães","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",6,"Aveiro","Efectivo"
"Maria Júlia Gomes dos Santos","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",7,"Aveiro","Efectivo"
"Hugo Miguel da Silva Cardoso","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",8,"Aveiro","Efectivo"
"Susana Maria Carreira Ferreira","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",9,"Aveiro","Efectivo"
"Artur Jorge Tavares Prado Ferreira","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",10,"Aveiro","Efectivo"
"Cristina Maria Jesus Pereira","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",11,"Aveiro","Efectivo"
"Sérgio Nuno Pereira Dias","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",12,"Aveiro","Efectivo"
"Yolanda Audine da Conceição Tavares Monteiro Garcia e Azevedo","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",13,"Aveiro","Efectivo"
"Tiago Filipe Marques da Costa","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",14,"Aveiro","Efectivo"
"Filipa Maria Valinho Moutela Almeida","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",15,"Aveiro","Efectivo"
"José Paulo Ferreira Monteiro Rebocho","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",16,"Aveiro","Efectivo"
"Margarida Andreia Gomes dos Santos","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",17,"Aveiro","Suplente"
"António Luís de Castro Carvalho","PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses",18,"Aveiro","Suplente"
